surah,ayah,word_idx,reciter,frac_of_ayah,median_frac,z
89,12,2,Alafasy_128kbps,0.25833,0.45207,4.59
90,8,2,Saood_ash-Shuraym_128kbps,0.08879,0.14823,4.59
89,17,1,Saood_ash-Shuraym_128kbps,0.02397,0.09222,4.58
82,8,3,Saood_ash-Shuraym_128kbps,0.16274,0.05509,4.57
78,23,2,Mohammad_al_Tablaway_128kbps,0.55447,0.34651,4.56
89,18,1,Abu_Bakr_Ash-Shaatree_128kbps,0.27315,0.44124,4.56
86,11,1,Husary_64kbps,0.22530,0.16844,4.55
90,16,1,Minshawy_Murattal_128kbps,0.30303,0.45733,4.55
86,2,1,Hani_Rifai_192kbps,0.50373,0.28643,4.53
85,18,1,Alafasy_128kbps,0.78689,0.58938,4.52
104,9,1,Mohammad_al_Tablaway_128kbps,0.22022,0.51817,4.52
91,13,4,Mohammad_al_Tablaway_128kbps,0.17252,0.12927,4.51
95,7,1,Alafasy_128kbps,0.22061,0.33129,4.51
84,16,1,Minshawy_Murattal_128kbps,0.62138,0.30981,4.50
83,32,3,Husary_64kbps,0.21693,0.09727,4.50
89,19,2,Abu_Bakr_Ash-Shaatree_128kbps,0.38293,0.14455,4.49
107,4,1,Mohammad_al_Tablaway_128kbps,0.79529,0.59669,4.49
104,1,2,Mohammad_al_Tablaway_128kbps,0.35065,0.26333,4.47
96,10,1,Hani_Rifai_192kbps,0.46000,0.23228,4.47
79,17,2,Hani_Rifai_192kbps,0.32068,0.22731,4.47
89,7,0,Mohammad_al_Tablaway_128kbps,0.29434,0.20990,4.47
100,7,3,Alafasy_128kbps,0.43974,0.33062,4.45
104,8,2,Alafasy_128kbps,0.43177,0.23790,4.42
79,18,4,Mohammad_al_Tablaway_128kbps,0.41708,0.16917,4.42
83,8,2,Alafasy_128kbps,0.04668,0.08621,4.41
78,19,3,Alafasy_128kbps,0.32692,0.24507,4.41
89,20,2,Alafasy_128kbps,0.17980,0.26741,4.41
102,8,2,Minshawy_Murattal_128kbps,0.22839,0.16871,4.41
92,14,2,Mohammad_al_Tablaway_128kbps,0.48464,0.29197,4.40
84,15,1,Saood_ash-Shuraym_128kbps,0.02695,0.17980,4.40
82,18,3,Husary_64kbps,0.09050,0.06651,4.39
101,7,2,Minshawy_Murattal_128kbps,0.38389,0.28977,4.38
114,1,2,Alafasy_128kbps,0.15425,0.22835,4.38
83,14,5,Husary_64kbps,0.06441,0.03828,4.38
95,2,0,Mohammad_al_Tablaway_128kbps,0.46347,0.35012,4.37
91,7,0,Alafasy_128kbps,0.24324,0.40451,4.36
82,8,5,Alafasy_128kbps,0.10264,0.17505,4.36
106,2,1,Alafasy_128kbps,0.09459,0.13973,4.36
78,25,2,Alafasy_128kbps,0.39076,0.57681,4.35
78,12,2,Saood_ash-Shuraym_128kbps,0.18414,0.27155,4.34
82,5,0,Mohammad_al_Tablaway_128kbps,0.11254,0.16590,4.34
84,25,7,Alafasy_128kbps,0.06216,0.09156,4.33
82,12,1,Husary_64kbps,0.03436,0.12050,4.31
111,3,2,Minshawy_Murattal_128kbps,0.36543,0.20000,4.30
80,33,0,Saood_ash-Shuraym_128kbps,0.09776,0.14489,4.27
80,38,1,Mohammad_al_Tablaway_128kbps,0.28516,0.43016,4.27
82,8,4,Saood_ash-Shuraym_128kbps,0.33019,0.23422,4.26
89,15,0,Alafasy_128kbps,0.10780,0.08197,4.25
83,7,1,Abdul_Basit_Murattal_64kbps,0.37042,0.16358,4.25
91,15,1,Saood_ash-Shuraym_128kbps,0.12472,0.30533,4.24
95,2,0,Alafasy_128kbps,0.24012,0.35012,4.24
78,30,2,Husary_64kbps,0.31620,0.23695,4.23
90,7,3,Hani_Rifai_192kbps,0.25606,0.41956,4.23
83,20,0,Alafasy_128kbps,0.38829,0.56541,4.23
90,8,3,Alafasy_128kbps,0.61895,0.43385,4.22
89,28,3,Minshawy_Murattal_128kbps,0.16819,0.29026,4.20
104,5,1,Abdul_Basit_Murattal_64kbps,0.59847,0.35153,4.20
84,20,2,Mohammad_al_Tablaway_128kbps,0.09800,0.14329,4.20
110,3,6,Saood_ash-Shuraym_128kbps,0.25746,0.18921,4.19
95,7,2,Alafasy_128kbps,0.10127,0.15597,4.19
79,42,3,Hani_Rifai_192kbps,0.12982,0.18821,4.19
85,5,1,Alafasy_128kbps,0.10373,0.18771,4.18
88,14,0,Minshawy_Murattal_128kbps,0.41220,0.59755,4.18
81,23,3,Alafasy_128kbps,0.45135,0.29625,4.18
84,14,2,Minshawy_Murattal_128kbps,0.07235,0.04118,4.18
88,8,1,Husary_64kbps,0.27048,0.39168,4.17
96,14,0,Minshawy_Murattal_128kbps,0.12934,0.09485,4.16
99,3,3,Saood_ash-Shuraym_128kbps,0.33610,0.16315,4.16
102,5,4,Alafasy_128kbps,0.46735,0.33524,4.16
78,37,9,Alafasy_128kbps,0.07980,0.11520,4.14
78,38,13,Alafasy_128kbps,0.05717,0.08249,4.14
86,4,0,Mohammad_al_Tablaway_128kbps,0.07620,0.13857,4.14
113,4,0,Alafasy_128kbps,0.25417,0.19460,4.13
104,3,3,Alafasy_128kbps,0.16870,0.24291,4.12
100,9,4,Alafasy_128kbps,0.05344,0.07815,4.12
81,27,1,Minshawy_Murattal_128kbps,0.12072,0.09254,4.11
107,4,1,Alafasy_128kbps,0.77821,0.59669,4.10
105,5,0,Alafasy_128kbps,0.16786,0.25861,4.10
91,11,0,Hani_Rifai_192kbps,0.31833,0.24417,4.10
89,11,2,Alafasy_128kbps,0.10833,0.07365,4.09
85,10,13,Alafasy_128kbps,0.18919,0.10330,4.06
86,2,0,Hani_Rifai_192kbps,0.08955,0.36868,4.06
99,5,2,Saood_ash-Shuraym_128kbps,0.43644,0.25560,4.05
98,7,4,Hani_Rifai_192kbps,0.21840,0.16797,4.05
114,2,0,Alafasy_128kbps,0.11934,0.26260,4.05
92,19,3,Hani_Rifai_192kbps,0.02305,0.12796,4.04
89,28,3,Saood_ash-Shuraym_128kbps,0.17303,0.29026,4.04
84,20,2,Alafasy_128kbps,0.09977,0.14329,4.03
79,34,0,Husary_64kbps,0.14023,0.10172,4.03
98,8,19,Saood_ash-Shuraym_128kbps,0.05209,0.03079,4.02
79,18,4,Abdul_Basit_Murattal_64kbps,0.39444,0.16917,4.01
98,6,7,Hani_Rifai_192kbps,0.01190,0.02911,4.00
78,35,5,Alafasy_128kbps,0.16865,0.24172,4.00
79,37,2,Hani_Rifai_192kbps,0.15947,0.26799,3.99
96,14,3,Mohammad_al_Tablaway_128kbps,0.22414,0.17168,3.99
84,21,1,Hani_Rifai_192kbps,0.06383,0.09292,3.96
85,8,8,Alafasy_128kbps,0.24893,0.16939,3.94
81,20,2,Abdul_Basit_Murattal_64kbps,0.28544,0.20487,3.93
88,14,1,Husary_64kbps,0.55370,0.40245,3.93
78,2,0,Minshawy_Murattal_128kbps,0.33028,0.15657,3.91
80,26,0,Alafasy_128kbps,0.36259,0.26799,3.90
85,19,4,Alafasy_128kbps,0.54927,0.36412,3.89
82,1,2,Hani_Rifai_192kbps,0.24516,0.37152,3.88
88,21,2,Saood_ash-Shuraym_128kbps,0.29642,0.20120,3.87
89,25,1,Husary_64kbps,0.11821,0.08453,3.86
98,5,4,Hani_Rifai_192kbps,0.07963,0.04124,3.85
80,2,0,Minshawy_Murattal_128kbps,0.50840,0.25699,3.84
78,30,1,Alafasy_128kbps,0.10789,0.21279,3.84
91,12,0,Minshawy_Murattal_128kbps,0.18841,0.12241,3.80
78,37,5,Hani_Rifai_192kbps,0.21408,0.14599,3.79
89,11,1,Alafasy_128kbps,0.12917,0.19366,3.79
83,16,0,Abu_Bakr_Ash-Shaatree_128kbps,0.26384,0.19023,3.78
107,3,4,Alafasy_128kbps,0.53605,0.36300,3.77
95,7,3,Alafasy_128kbps,0.58228,0.38110,3.77
83,27,0,Abdul_Basit_Murattal_64kbps,0.62626,0.40045,3.76
79,43,2,Alafasy_128kbps,0.28667,0.20501,3.75
87,18,0,Alafasy_128kbps,0.27615,0.20776,3.74
90,13,0,Husary_64kbps,0.64311,0.40095,3.73
90,13,1,Husary_64kbps,0.35689,0.59905,3.73
82,8,2,Saood_ash-Shuraym_128kbps,0.14858,0.25628,3.73
97,3,3,Mohammad_al_Tablaway_128kbps,0.11634,0.07772,3.73
83,32,4,Husary_64kbps,0.13845,0.26208,3.73
78,38,3,Saood_ash-Shuraym_128kbps,0.25528,0.17205,3.73
78,26,1,Saood_ash-Shuraym_128kbps,0.46341,0.33659,3.72
107,1,3,Alafasy_128kbps,0.50090,0.31431,3.72
106,4,3,Abdul_Basit_Murattal_64kbps,0.07549,0.13860,3.71
80,37,3,Alafasy_128kbps,0.11201,0.22918,3.71
83,7,3,Alafasy_128kbps,0.13104,0.18741,3.70
84,25,4,Hani_Rifai_192kbps,0.24067,0.17536,3.70
89,7,2,Mohammad_al_Tablaway_128kbps,0.32830,0.51172,3.70
81,25,3,Minshawy_Murattal_128kbps,0.35860,0.25901,3.68
83,19,1,Saood_ash-Shuraym_128kbps,0.03529,0.21494,3.68
83,12,1,Saood_ash-Shuraym_128kbps,0.21528,0.15581,3.68
82,5,2,Husary_64kbps,0.09401,0.06405,3.68
90,20,1,Mohammad_al_Tablaway_128kbps,0.18605,0.42442,3.68
80,8,2,Saood_ash-Shuraym_128kbps,0.48166,0.33230,3.67
80,34,3,Alafasy_128kbps,0.06107,0.09868,3.66
109,1,1,Minshawy_Murattal_128kbps,0.60149,0.45338,3.65
104,5,0,Abdul_Basit_Murattal_64kbps,0.05882,0.31142,3.65
79,18,4,Minshawy_Murattal_128kbps,0.37342,0.16917,3.64
85,15,0,Minshawy_Murattal_128kbps,0.14759,0.07090,3.64
83,16,0,Abdul_Basit_Murattal_64kbps,0.26096,0.19023,3.63
84,22,0,Abu_Bakr_Ash-Shaatree_128kbps,0.10929,0.07463,3.63
86,2,2,Minshawy_Murattal_128kbps,0.02957,0.05096,3.63
88,7,4,Husary_64kbps,0.13350,0.19212,3.63
85,17,3,Alafasy_128kbps,0.59717,0.40017,3.61
82,8,4,Alafasy_128kbps,0.31525,0.23422,3.60
85,11,10,Alafasy_128kbps,0.19451,0.13391,3.58
80,5,1,Husary_64kbps,0.19811,0.12350,3.57
92,1,0,Hani_Rifai_192kbps,0.21030,0.34491,3.56
87,9,0,Hani_Rifai_192kbps,0.16741,0.24287,3.56
105,3,1,Alafasy_128kbps,0.16694,0.24752,3.56
96,11,1,Mohammad_al_Tablaway_128kbps,0.34276,0.20143,3.56
85,6,2,Alafasy_128kbps,0.20911,0.34763,3.54
89,4,1,Abdul_Basit_Murattal_64kbps,0.39918,0.28864,3.54
109,4,2,Alafasy_128kbps,0.16552,0.33332,3.54
83,28,2,Abdul_Basit_Murattal_64kbps,0.12896,0.08575,3.53
101,3,1,Abdul_Basit_Murattal_64kbps,0.57859,0.30004,3.52
90,7,3,Saood_ash-Shuraym_128kbps,0.28395,0.41956,3.51
107,2,3,Alafasy_128kbps,0.53516,0.36547,3.50
79,45,3,Hani_Rifai_192kbps,0.05351,0.12775,3.50
83,1,0,Husary_64kbps,0.29221,0.20068,3.49
101,10,1,Mohammad_al_Tablaway_128kbps,0.67157,0.35483,3.49
89,7,0,Alafasy_128kbps,0.27568,0.20990,3.48
89,20,1,Mohammad_al_Tablaway_128kbps,0.23601,0.17098,3.48
105,3,3,Alafasy_128kbps,0.53191,0.35683,3.47
78,26,1,Hani_Rifai_192kbps,0.45479,0.33659,3.47
95,6,8,Mohammad_al_Tablaway_128kbps,0.23976,0.14786,3.47
78,17,0,Alafasy_128kbps,0.07517,0.21349,3.44
80,19,0,Alafasy_128kbps,0.30316,0.20946,3.43
83,32,5,Minshawy_Murattal_128kbps,0.10259,0.34200,3.42
95,3,0,Alafasy_128kbps,0.17620,0.25902,3.41
96,19,4,Saood_ash-Shuraym_128kbps,0.32267,0.24252,3.40
81,14,1,Hani_Rifai_192kbps,0.43454,0.32504,3.39
83,18,1,Minshawy_Murattal_128kbps,0.32330,0.17670,3.39
98,1,0,Abdul_Basit_Murattal_64kbps,0.01524,0.02468,3.38
89,16,1,Abu_Bakr_Ash-Shaatree_128kbps,0.13665,0.06559,3.38
78,23,2,Alafasy_128kbps,0.50045,0.34651,3.38
79,14,1,Alafasy_128kbps,0.37356,0.26210,3.37
83,3,4,Alafasy_128kbps,0.43876,0.29917,3.36
89,18,4,Alafasy_128kbps,0.35635,0.23267,3.35
114,4,2,Alafasy_128kbps,0.17004,0.25987,3.34
83,12,2,Saood_ash-Shuraym_128kbps,0.10880,0.21634,3.34
80,11,1,Minshawy_Murattal_128kbps,0.65370,0.39677,3.33
85,13,3,Alafasy_128kbps,0.50665,0.37493,3.33
111,2,1,Saood_ash-Shuraym_128kbps,0.05937,0.15794,3.32
